Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
65,52,2020-03-08,21-009,DAL,,IND,L (-3),1,36:17,13,26,.500,4,13,.308,6,10,.600,1,9,10,8,2,0,3,3,36,28.2,+2
66,53,2020-03-10,21-011,DAL,@,SAS,L (-10),1,36:17,13,26,.500,6,13,.462,6,7,.857,1,6,7,8,2,0,5,3,38,28.5,-9
67,54,2020-03-11,21-012,DAL,,DEN,W (+16),1,39:32,10,22,.455,2,8,.250,6,11,.545,1,5,6,9,2,0,2,2,28,22.3,+3
68,55,2020-07-31,21-154,DAL,,HOU,L (-4),1,42:08,11,27,.407,1,9,.111,5,9,.556,2,11,13,10,1,1,8,6,28,14.9,0
69,56,2020-08-02,21-156,DAL,@,PHO,L (-2),1,38:11,11,20,.550,0,3,.000,18,19,.947,0,8,8,11,0,0,6,4,40,32.5,+3
70,57,2020-08-04,21-158,DAL,@,SAC,W (+4),1,43:31,12,24,.500,2,6,.333,8,11,.727,4,16,20,12,0,2,6,3,34,31.0,+3
71,58,2020-08-06,21-160,DAL,,LAC,L (-15),1,35:01,10,21,.476,6,13,.462,3,6,.500,0,3,3,6,0,0,4,2,29,17.4,-21
72,59,2020-08-08,21-162,DAL,,MIL,W (+4),1,41:34,12,24,.500,3,9,.333,9,10,.900,1,13,14,19,1,0,2,1,36,40.1,+12
73,,2020-08-10,21-164,DAL,@,UTA,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,60,2020-08-11,21-165,DAL,,POR,L (-3),1,34:40,8,19,.421,2,8,.250,7,9,.778,1,7,8,10,0,1,6,1,25,18.2,-3
75,61,2020-08-13,21-167,DAL,@,PHO,L (-26),1,13:14,5,9,.556,1,2,.500,7,7,1.000,1,4,5,0,1,0,1,2,18,14.8,-2
